"random_id","snap_elec_app","q2_new","q3","q4","q5a","q5b","q5c","q5d","q5e","q6count","q7count","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q8i","q8j","q8k","q8l","q9","q10count","q11a","q11b","q11c","q11d","q11e","q12a","q12b","q12c","q12d","q12e","q12f","q13a","q13b","q14","q17","q19","q20","q21a","q21b","q21c","q21d","q21e","q21f","q21g","q21h","q21i","q21j","q21k","q21l","q22a","q22b","q22c","q22d","q22e","q22f","q23a","q23b","q23c","q23d","q23e","q23f","q23g","q23h","q23i","q24","q25a","q25b","q25c","q25d","q25e","q26a","q26b","q26c","q26d","q26e","q26f","q27a","q27b","pop_density"
112,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,7,7,1,2,2,2,6,6,3,3,1
113,1,1,1,4,3,3,3,3,3,1,,6,6,6,6,6,6,6,6,6,6,6,6,2,,3,3,3,3,3,5,5,5,5,5,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
114,1,1,1,2,2,1,1,2,3,1,,2,2,2,3,3,2,4,6,5,3,6,6,1,2,3,3,3,3,2,5,5,5,5,5,5,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
115,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,7,6,5,6,5,5,5,5,6,,1
116,1,1,2,1,2,2,2,2,2,2,,1,1,1,2,2,1,6,6,2,2,2,2,1,2,2,6,6,2,2,3,3,3,3,3,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
117,2,1,2,3,1,1,2,2,2,1,3,1,1,1,2,2,2,1,1,2,1,3,3,1,4,2,1,3,3,3,3,3,3,3,3,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
118,1,1,1,3,1,1,1,2,2,1,,1,1,2,2,2,1,3,6,2,2,2,2,1,2,1,6,1,2,,3,3,3,3,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
119,1,1,1,3,3,3,3,3,2,1,,2,1,2,2,2,1,6,6,2,2,6,6,2,,3,6,6,3,3,5,3,3,3,3,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
120,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,3,6,1,1,1,,1,1,6,6,1
121,1,1,2,3,2,1,2,1,2,1,4,2,1,2,2,1,1,2,2,2,2,3,2,1,5,1,1,2,3,3,3,3,3,3,3,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
122,1,1,1,2,2,2,2,2,1,1,3,2,2,2,2,2,2,3,3,3,3,3,3,1,3,2,6,2,2,2,3,3,3,3,3,3,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
123,1,1,1,4,1,2,2,2,1,1,,2,6,6,6,6,3,2,6,6,,,6,2,,3,3,6,3,3,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
124,2,1,1,3,2,2,2,2,3,2,1,2,2,1,1,1,1,3,1,3,3,3,2,1,4,3,3,3,3,3,2,3,3,3,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
125,1,1,1,3,2,2,2,3,3,5,2,2,2,3,2,2,3,2,6,2,2,3,6,2,,3,6,3,3,3,5,2,2,2,2,3,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
126,1,1,2,3,2,2,2,2,2,1,6,3,2,2,3,3,3,5,6,3,2,3,3,2,,3,6,6,3,3,3,4,4,4,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
127,2,1,1,3,2,2,2,2,2,1,,2,2,2,2,2,3,3,3,2,2,3,3,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
128,1,1,2,3,2,1,1,3,3,1,5,2,2,2,2,2,2,2,6,2,2,2,2,1,3,2,6,6,3,3,5,3,3,,3,3,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
129,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,2,2,3,1,2,3,2,6,2,2,5,5,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,2,3,3,7,7,7,1,2,2,3,1,2,2,2,2
130,1,1,1,3,1,1,1,1,3,1,,2,1,2,2,1,1,2,6,1,1,1,3,2,,2,2,2,3,3,3,4,4,4,4,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
131,1,1,1,3,2,2,4,4,3,1,3,4,2,3,3,3,3,3,3,6,3,5,6,1,1,3,3,3,3,3,3,3,2,2,3,2,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
132,1,1,2,3,3,3,2,2,3,1,,2,2,2,2,2,2,2,6,2,2,2,2,1,1,1,1,1,1,1,3,4,4,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
133,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,6,6,6,6,6,6,6,6,1
134,1,1,1,3,2,2,2,2,2,1,2,6,6,6,2,2,6,3,7,6,6,6,6,1,6,6,6,6,6,6,5,5,5,5,5,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
135,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,2,2,2,,1,1,3,3,1
136,1,1,1,1,2,3,2,3,3,1,2,3,3,2,2,2,2,2,6,2,1,3,2,1,2,3,1,6,3,2,4,4,4,4,2,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
137,2,1,1,2,1,1,1,2,3,1,,2,2,1,2,2,2,3,3,1,2,4,3,1,6,2,2,3,3,3,3,3,3,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
138,1,1,2,3,1,1,1,2,1,1,2,1,1,1,2,2,2,1,6,2,1,1,1,1,3,1,6,1,1,1,5,4,4,2,4,4,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
139,1,1,1,2,,,,,,,4,2,2,2,2,2,2,2,6,3,2,3,3,1,3,2,2,3,3,2,4,2,3,2,3,4,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
140,1,3,3,4,,,,,,,,2,2,2,3,3,3,6,6,3,3,3,6,3,,3,3,3,7,6,5,3,4,5,5,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
141,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,7,1,2,2,3,3,3,2,2,1
142,1,1,1,3,,,,,,,3,3,2,2,3,3,,2,6,3,3,2,2,3,,2,6,6,2,2,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
143,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,2,3,3,2,2,2,3,3,1
144,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,2,2,2,1,6,2,2,2,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,2,2,6,6,2,2,2,2,1,2,1,2,2,2,2
145,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,3,,3
146,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,5,5,5,6,6,6,3,6,1
147,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,7,6,5,5,5,5,5,5,6,,2
148,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,2,2,1,2,1,1,3,3,1
149,2,1,1,2,2,2,3,2,3,1,,2,2,2,2,2,3,3,3,3,3,3,3,1,1,3,3,3,3,3,2,1,2,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
150,1,1,1,4,2,1,1,2,2,1,2,2,1,1,2,2,3,2,6,3,2,3,7,3,,1,2,3,7,7,3,2,3,2,3,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
151,1,1,2,3,1,2,2,2,1,1,5,1,1,1,2,2,1,6,6,1,2,1,2,1,2,1,6,6,1,1,3,3,3,3,3,3,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
152,2,1,1,2,2,2,2,2,1,1,3,2,1,1,2,2,1,1,1,1,1,2,2,1,3,1,2,2,1,1,3,3,4,3,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
153,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,4,3,4,2,2,4,2,1
154,2,1,1,3,2,3,3,3,3,2,4,2,2,2,4,4,2,1,1,2,4,4,3,1,1,4,4,4,3,7,2,3,2,2,2,3,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
155,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,7,7,3,2,3,3,3,3,2,2,1
156,1,1,1,3,,,,,,,4,2,2,2,2,4,2,6,6,2,2,3,3,1,4,1,6,6,3,3,4,4,4,3,4,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
157,1,1,1,4,2,2,2,3,3,1,,3,2,2,2,3,6,6,6,6,2,6,6,2,,3,6,6,3,3,5,5,4,4,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
158,2,1,2,3,1,1,1,1,2,2,5,1,2,1,2,1,6,1,1,2,5,5,2,1,6,2,1,3,3,3,4,4,4,2,3,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
159,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,5,5,5,5,5,5,4,1,1
160,1,1,1,3,3,3,3,3,3,1,,3,2,2,2,2,2,2,6,3,2,2,2,2,,2,6,6,2,7,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
161,1,3,3,4,,,,,,,,2,2,2,2,2,2,2,6,2,2,2,2,1,2,2,2,6,7,2,3,3,3,3,2,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
162,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,4,4,4,4,4,3,3,2
163,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,7,6,1,6,6,6,6,6,5,,1
164,1,1,1,4,2,3,3,3,3,1,,2,2,3,2,3,3,4,6,4,3,4,3,3,,4,6,3,2,3,4,3,3,2,2,1,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
165,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,2,2,2,3,2,2
166,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,2,2,2,3,3,3,2,2,2
167,1,1,1,1,3,2,1,1,1,2,4,2,2,1,2,3,2,1,3,2,1,1,3,1,1,1,1,3,1,3,2,2,2,2,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
168,2,1,1,2,,,,,,,4,2,3,3,3,2,3,2,2,2,2,3,3,1,2,2,2,2,3,3,3,2,3,2,2,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
169,1,1,1,2,2,3,2,3,3,1,,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,3,2,3,3,3,3,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
170,1,3,3,4,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,2,,6,6,6,6,6,5,5,5,5,5,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
171,1,1,1,3,2,2,2,2,2,1,3,2,2,2,2,2,2,4,6,2,2,2,6,1,3,2,6,6,2,2,2,2,4,4,4,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
172,1,1,2,3,2,1,3,2,3,2,6,3,2,3,2,2,2,4,6,2,1,3,6,1,1,2,1,4,2,2,4,2,2,2,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
173,1,1,1,4,4,2,2,4,4,5,4,3,2,3,3,3,7,3,6,3,3,3,7,3,,,,,,,5,3,3,6,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
174,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1
175,1,1,1,3,2,2,2,3,2,2,,3,2,2,2,2,2,3,6,2,2,2,2,2,,3,6,6,3,3,3,3,3,2,2,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
176,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,5,5,5,5,5,5,6,6,1
177,1,1,,3,3,2,2,3,2,1,,2,1,1,1,2,1,2,6,1,1,2,2,1,3,1,6,6,2,2,5,4,5,4,4,4,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
178,2,1,1,3,2,1,2,2,2,1,5,2,2,3,3,2,3,2,1,1,3,3,3,1,6,3,2,3,3,3,2,2,3,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
179,2,1,2,2,2,2,2,2,2,1,,1,1,1,1,1,1,2,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
180,1,1,2,3,1,1,1,1,2,1,5,1,1,1,1,1,1,2,2,2,1,2,3,1,3,1,1,5,1,1,3,3,4,3,2,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
181,2,1,1,3,1,1,2,1,2,3,5,2,2,2,2,1,1,1,1,2,2,2,2,1,4,2,2,3,2,2,2,2,1,1,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
182,2,1,1,3,2,2,2,2,1,1,5,2,2,2,2,2,2,3,6,2,2,2,3,1,3,2,2,3,3,3,3,2,3,3,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
183,1,3,3,4,,,,,,,,7,2,2,7,3,7,2,6,6,7,7,7,3,,7,6,7,7,7,6,6,6,6,6,6,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
184,1,1,1,4,2,2,4,4,4,5,3,7,2,2,3,6,2,2,6,2,7,6,7,2,,3,6,6,3,2,6,2,2,2,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
185,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,3,3,2,2,2,2,2,2,3,3,1
186,1,1,2,4,,,,,,,8,2,1,2,2,2,2,2,6,2,2,2,2,1,4,2,6,6,2,2,2,3,2,3,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
187,1,1,1,3,3,3,2,1,3,1,,2,1,1,1,2,2,2,6,1,1,1,1,1,2,4,6,3,3,3,1,1,3,3,1,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
188,2,1,3,2,2,2,2,2,2,5,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,2,2,2,1,5,5,5,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
189,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,,,1,6,6,2,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,6,6,7,2,1,1,1,1,1,6,1,1,1
190,2,1,1,,2,2,2,2,3,5,,2,1,1,2,2,1,1,1,1,1,2,2,2,,2,2,3,2,2,3,3,3,3,3,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
191,1,1,1,3,3,3,2,4,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,1,2,1,6,6,1,1,3,3,3,3,3,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
192,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,3,6,2,5,5,5,5,5,4,2,2
193,1,1,1,3,,,,,,,1,3,3,3,3,3,3,1,6,2,2,6,6,2,,3,7,6,3,7,4,4,4,4,4,4,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
194,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,7,6,1,1,1,1,1,1,5,3,2
195,1,1,1,4,2,2,2,2,2,5,,2,2,2,2,2,2,2,2,2,2,2,2,3,,2,2,2,2,2,3,3,3,3,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
196,1,1,1,2,2,2,2,4,4,2,4,2,2,2,2,2,2,2,6,2,2,2,2,3,,3,6,3,3,3,1,2,1,2,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
197,1,1,1,1,,2,2,3,2,1,,3,2,2,2,3,3,6,6,2,2,2,6,1,1,3,6,6,2,3,4,3,2,2,2,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
198,1,1,1,4,2,2,2,2,2,1,,3,2,2,2,2,3,2,6,2,2,6,6,1,1,2,6,6,2,6,5,5,5,5,5,4,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
199,1,1,1,3,,,,,,5,,2,2,,,,,2,,,,,,1,1,7,,,,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
200,1,1,1,2,,,,,,,3,,,,,,,2,6,2,2,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
201,1,3,3,4,,,,,,,,7,7,7,7,7,7,7,7,6,6,7,6,3,,7,7,7,7,7,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
202,1,1,1,3,1,2,1,2,2,1,3,2,1,2,1,2,2,3,6,3,2,3,3,2,,2,6,4,3,3,4,2,2,1,2,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
203,2,1,1,3,1,1,2,2,2,1,,2,1,1,2,2,2,2,1,2,2,3,2,1,2,2,2,3,7,7,2,5,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
204,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,5,5,5,5,5,5,3,2,2
205,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,7,7,6,3,3,3,3,6,3,3,1
206,1,1,3,4,3,2,2,3,3,1,,3,2,2,3,3,3,3,6,3,3,3,6,2,,2,3,6,7,7,3,3,3,6,6,4,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
207,1,1,1,1,,,,,,,,,,,,,,,,,,,,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
208,1,1,1,4,3,2,2,2,2,1,2,2,1,1,2,2,2,2,6,2,2,6,6,3,,2,6,6,7,7,5,3,3,5,5,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
209,1,1,1,2,2,2,2,3,2,1,,3,2,2,2,2,3,3,,2,2,2,2,1,1,2,3,3,2,2,2,1,2,3,2,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
210,1,1,2,4,4,4,2,,2,1,,2,1,1,2,3,2,3,6,2,2,2,2,1,1,2,6,6,3,3,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
211,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,5,5,5,5,5,5,,5,1
212,2,1,1,2,3,3,2,2,2,1,3,3,2,2,2,2,2,2,2,2,2,3,3,1,2,3,3,3,3,3,1,2,3,3,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
213,1,1,1,3,3,3,3,3,2,5,,1,1,1,1,6,1,1,6,6,1,2,6,1,1,1,6,6,1,6,4,3,3,4,4,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
214,2,1,1,4,2,2,2,2,2,1,4,2,2,2,2,2,3,2,2,2,2,2,3,2,,2,2,2,2,2,3,2,2,1,2,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
215,1,1,1,2,2,2,2,2,2,1,,1,1,1,1,1,1,2,6,1,1,1,1,1,2,7,7,7,7,7,4,4,4,4,4,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
216,1,1,1,3,3,3,2,2,2,1,5,5,2,2,2,5,5,6,6,5,4,1,6,1,2,5,6,1,1,1,3,3,2,3,1,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
217,2,1,1,2,2,2,2,2,2,1,,2,2,4,2,2,4,2,2,4,2,4,4,2,,2,2,3,3,3,2,2,2,1,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
218,1,3,3,4,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,3,,7,7,7,7,7,6,6,6,6,6,6,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
219,1,1,1,2,2,2,4,4,4,1,3,2,2,2,2,2,2,3,2,2,3,2,2,1,1,2,,3,3,3,2,3,2,2,2,2,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
220,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,2,2,2,3,2,2,2,2,1,1,1
221,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,7,7,6,6,,,,,6,6,1
222,1,1,1,4,2,2,2,1,2,1,,2,2,2,2,2,2,6,6,3,2,1,1,2,,1,6,3,2,3,3,5,3,3,3,3,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
223,1,1,1,2,2,1,1,2,1,1,,2,1,1,1,2,1,2,6,2,1,1,2,1,3,1,6,7,2,2,2,3,6,2,3,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
224,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,1,,,,,,2,,2
225,1,1,1,4,2,2,4,2,4,5,2,2,2,2,2,2,2,3,6,3,2,2,2,1,1,2,6,3,2,2,3,3,3,4,2,2,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
226,1,1,2,2,2,2,1,1,1,1,,1,1,1,1,2,3,3,2,1,1,1,1,2,,1,1,1,1,3,3,3,2,2,2,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
